,id,marital_status,vintage,claim_amount,Female,Male,Rural,Urban,Bachelor,High School,Others,2L-5L,5L-10L,<=2L,More than 10L,1,More than 1,A,B,C,Gold,Platinum,Silver
id,1.0,0.0001705744723162284,-0.005823650701800769,0.0036337417002338403,0.0002153828337578178,-0.00021538283375760952,-7.266873784021607e-05,7.266873783676422e-05,0.003358137390970062,-0.004620423995441136,0.0032019561149377435,-0.004874653039974521,0.00222825061722976,-0.005243206330477461,0.00478855283672353,0.004105402436705008,-0.0041054024367148875,0.00033380783861027366,-0.001299989032659976,0.001462123520304083,0.0009198744767162686,-0.005495856041043611,0.005551702535734567
marital_status,0.0001705744723162284,1.0,-0.011685515971515122,-0.11492400500436663,-0.07046779871873478,0.0704677987187347,0.048738673552188576,-0.04873867355218828,0.015743810858314253,-0.01692057691693478,0.003187876481984784,-0.05102012339513989,0.05298731237641207,-0.009521465088941541,-0.008394316556494346,0.08236265926589811,-0.08236265926589853,0.029832578741451708,-0.04275943087753481,0.016471927890655165,0.014407470029322657,-0.015609495413695698,0.004056778916044846
vintage,-0.005823650701800769,-0.011685515971515122,1.0,0.009579412087910806,-0.005827432816323083,0.005827432816323032,-0.001144523871607873,0.0011445238716078971,0.02764592530251634,-0.023876896228127296,-0.00895475530180842,0.021922390684559583,-0.017905189804132214,0.005196560893646776,-0.0034775160079357635,-0.05069877661379045,0.05069877661379025,-0.07375790946074648,0.09478011851894644,-0.023712123216813732,-0.0015131001945644894,-0.009787575391963713,0.013016033659458854
claim_amount,0.0036337417002338403,-0.11492400500436663,0.009579412087910806,1.0,-0.04977330812099472,0.04977330812099463,-0.45105424395285093,0.45105424395285076,-0.04663550254454554,0.061432476876538605,-0.03765139789829985,0.15339595251530772,-0.06490541401507702,0.07603537406467344,-0.1225820285357086,-0.1552811555147897,0.1552811555147896,0.14842650668338753,-0.16335504221033756,0.005137486705338833,0.013482657541271472,0.007126246675844906,-0.021770210881064612
Female,0.0002153828337578178,-0.07046779871873478,-0.005827432816323083,-0.04977330812099472,1.0,-1.0,0.04251576891267834,-0.04251576891267833,-0.0361200737821614,0.034121879226583204,0.004402279708585094,0.015237116757070188,-0.03289323025177928,0.03662406651419473,0.012460158771754364,-0.05287055697613708,0.052870556976137455,0.007720514924302004,-0.0033753573865932304,-0.007698981904796015,0.000745330528166104,-0.015893191343317875,0.017955946854879095
Male,-0.00021538283375760952,0.0704677987187347,0.005827432816323032,0.04977330812099463,-1.0,1.0,-0.04251576891267818,0.04251576891267828,0.03612007378216147,-0.03412187922658313,-0.004402279708585069,-0.015237116757070221,0.03289323025177924,-0.036624066514194704,-0.012460158771754286,0.0528705569761371,-0.05287055697613745,-0.007720514924301982,0.0033753573865932694,0.00769898190479606,-0.0007453305281661235,0.01589319134331799,-0.017955946854878845
Rural,-7.266873784021607e-05,0.048738673552188576,-0.001144523871607873,-0.45105424395285093,0.04251576891267834,-0.04251576891267818,1.0,-1.0000000000000004,0.04285444202756025,-0.0590787813217851,0.0411502161983327,-0.2045232597727813,0.08682798387567046,-0.09300958713296462,0.15972908969690883,0.12189821411487842,-0.12189821411487835,-0.15453257555159378,0.17611642537233171,-0.014745227285086232,-0.013567727802932594,-0.014939290504664623,0.031045575966289516
Urban,7.266873783676422e-05,-0.04873867355218828,0.0011445238716078971,0.45105424395285076,-0.04251576891267833,0.04251576891267828,-1.0000000000000004,1.0,-0.04285444202756003,0.0590787813217849,-0.041150216198332853,0.20452325977278113,-0.08682798387567044,0.09300958713296463,-0.1597290896969088,-0.12189821411487832,0.12189821411487792,0.15453257555159366,-0.17611642537233083,0.014745227285086236,0.013567727802932543,0.014939290504664719,-0.031045575966289568
Bachelor,0.003358137390970062,0.015743810858314253,0.02764592530251634,-0.04663550254454554,-0.0361200737821614,0.03612007378216147,0.04285444202756025,-0.04285444202756003,1.0,-0.9191037673570607,-0.18565999922949966,0.006930384761665954,-0.010868719891675831,-0.010140859023828165,0.010686778467369755,-0.023337013359512635,0.023337013359512642,-0.05361796402700266,0.0800950431885854,-0.0346501541491906,-0.020398972797909302,-0.01950605299731119,0.04320059507270753
High School,-0.004620423995441136,-0.01692057691693478,-0.023876896228127296,0.061432476876538605,0.034121879226583204,-0.03412187922658313,-0.0590787813217851,0.0590787813217849,-0.9191037673570607,1.0,-0.21652442324256238,-0.003955581458993833,0.012213181099981573,0.010027149950003663,-0.015993338866149093,-0.005870426751080563,0.005870426751080646,0.06282924339770939,-0.08612522280972547,0.028580123765066672,0.01408140538355217,0.03423193094964476,-0.05425057178608515
